brand,country_of_origin,isaac_rating,kristina_rating,name,notes,tried_on
Koikeya,Japan,5.5,7.0,The Shrimp,,
Zumba Pica,Mexico,8.0,6.0,Zumba Roll,,
Sakeru,Japan,7.0,8.0,Gummy straws - yogurt drink flavor,,
Sltimi,Japan,8.5,9.0,Choco Corn,,
Shanghai,Thailand,5.0,4.0,Vanilla Wafer,,
Carlos V,Mexico,6.0,5.5,Stick,,
Ginbis,Japan,7.5,7.0,Black sesame buscuit,,
Umaibo,Japan,5.0,6.0,Tonkatsu,,
Vero,Mexico,6.0,4.0,Pica tamarind,,
Tiajuana,Mexico,5.0,4.0,dulce Banderinda - pineapple,,
Mandy's,USA,6.0,6.0,Dark Chocolate Cookie Thins,,
Simsek,Turkey,4.0,6.0, Bien - Chocolate filled,,
Pretz,Japan,8.0,8.5,Pizza Sticks,,
Kuikas,Mexico,5.0,3.0,Sour Orange balls,,
Sakeru,Japan,7.0,7.0,Gummy straws - grape flavor,,
Cadbury,UK,7.0,7.0,Curley Wurley,,
Peko,Japan,6.5,4.0,Peach gummies,,
Friend Bakery,Japan,8.0,9.0,Chocolate cream buscuit,,
Amanoya,Japan,6.0,6.0,Rice cracker,,
Tayto,Ireland,7.0,8.0,Cheese and onion crisps,,
Jaga Pokkuru,Japan,4.0,7.0,Sweet Corn potato crisps,,
Rowntree,UK,6.0,5.0,Jelly tots,,
Lotte,Japan,7.5,8.0,Strawberry Koala,,
Kinder,UK,7.0,7.0,Hippo,,
Lucas,Mexico,5.0,4.0,Pulvos Powder,,
Kit Kat,UK,5.0,5.0,Chunky White,,
?,UK,1.0,1.0,Sherbet fountain,,
Puchao,Japan,7.5,7.0,Strawberry gummy,,
Kit Kat,UK,8.0,8.0,Peanut butter,,
Botan,Japan,5.0,3.0,Rice Candy,,
Cadbury,UK,8.0,7.0,Crunchie,,
?,Japan,7.0,8.0,Bubble Soda Candy,,
Kit Kat,Japan,6.0,9.0,Golden,,
Rowntree,UK,6.0,6.0,Fruit Pastilles,,
Snickers,Australia,9.0,9.0,Coffee,,
Pan Pan,China,6.0,6.0,Tearing Bread,,
Orian,China,9.0,9.0,Peach Cake,,
?,China,7.0,6.0,Haw Flakes,,
Xiaohuanxiong,China,5.0,6.0,Noodle snack,,
Hello Bee Bee,China,7.0,7.0,Strawberry wafer,,
Oreo,China,8.0,8.0,Strawberry cloud cake,,
Pan Pan,China,0.0,0.0,Corn bread,,
Kit Kat,Australia,5.0,5.0,Neopolitan,,
Invite,Turkey,4.0,3.0,Doughnut,,
Elegance,Turkey,7.0,7.0,Biscotto Vanilla,,
Eti,Tyrkey,2.0,2.0,Popkek Banana,,
Bonart,Turkey,5.0,0.0,Fruit Chew,,
Tunas,Turkey,3.0,6.0,Halva with Vanilin,,
Marukawa,Japan,6.0,6.0,Orange Gum,,
De la Rosa,Mexico,8.5,8.0,Cacahuate Japones,,
Wipos,Mexico,7.0,8.0,Donitas Lime,,
Ricolino,Mexico,6.0,5.0,Bubulubu,,
El Ponchin,Mexico,4.0,4.0,Churritos Mexicanos,,
Gansito,Mexico,7.0,5.0,Marinela,,
Boy Bawang,Philippines,7.0,8.0,Cornick,"Chili cheese flavor
Fried corn
Frito-esque",2026-09-04
Glico,Thailand,2.0,2.0,Pocky,"Durian flavor
Onion?
Ucky",2026-09-04
Amira,Thailand,7.5,6.0,Tamarind Candy,"",2026-09-04
Regent,Philippines,4.0,3.0,Ube Cake,"Ube = purple yam
Meh",2026-09-04
Oriental,Malaysia,4.0,5.0,Strawberry Layer Cake,"",2026-09-04
Lays,USA,7.0,7.5,Chips - Barbeque Brisket,Taste like Worcestershire,2026-09-04
